Node / Stage,Inputs (what feeds it),Producers / Actors,Process (what they do),Outputs (what they make),Consumers / Downstream,Weak points / Risks,Hybridization / Cross-breed opportunities
Universal Scavenger (Tier0),"Random trash, cans, scrap, bottles, old phones, keys",Any player,"Search zones, sift, salvage","Common scrap, low cash, minor mats","All mid-tier processors (scrappers, chemists, techs)",Low yields; high time sink if not tuned; trivial grind,Everyone starts here; combines with daily loop tasks; can hybrid into short-run missions (scavenge+deliver)
Industrial Scrapper (Tier1),"Construction sites, junkyards, vehicles",Players with toolset,"Strip metal, pull pipes/wiring","Metal scrap, car parts, tools","Auto Vulture, Manufacturer, Builder Scavenger","Zone contest (other players), police patrols, resource depletion",Pair with Builder Scavenger for hideout upgrades; marketplace sale role
Auto Vulture (Tier2),"Wrecked cars, scrapyard inventory","Car-thief adjuncts, salvage crews","Remove drivetrains, salvage engines","Usable engines, chassis parts, tires","Auto Breaker, Chop Shops, Mechanics",Needs heavy tools; visible activity → police; stolen VIN flags,Hybrid with Wheelman (steal→salvage) for efficient loop
Auto Breaker (Tier3),"Salvaged engines, drivetrain, electronic modules",Skilled scrappers,"Match parts, retrofit mods, stash rarities","High-tier car mods, rare parts","Scrapyard Boss, Auto Boss, Chop Shop",Target for rival crews; dependency on Scrapyard Boss stock,Combine with Circuit Architect to create rare vehicle mods
Scrapyard Boss (Tier4),"Bulk scrap, chain supply (Auto Breakers)",Syndicate-level scavenger,"Manage yards, broker parts, allocate orders","Controlled parts flow, black-market orders","Chop Shops, Auto Bosses, Manufacturer",Single node risk (monopoly); raids cause supply shock,Can be franchised into regions; tie to turf mechanics
Builder Scavenger / Structural Reclaimer,"Construction materials, concrete, steel",Scavenger crews,"Convert rubble into fort mats, beams","Fortification mats, barricade kits","Warlord Scrapper, Enforcers","Resource-heavy, vulnerable to raids",Hybrid with Warlord Scrapper for fortress building service
Chem Scavenger / Urban Forager (Tier1–2),"Household chemicals, pill bottles, solvents",Any player / specialists,"Collect reagents, distill crude compounds","Base reagents, cutting agents","Street Alchemist, Cartel Chemist, Medics",Chemical hazard; chance of poisoning/explosion,Combine with Tech Salvager for chemical sensors
Biohazard Diver / Toxic Recycler (Tier2–3),"Hospital waste, lab disposables",Specialized scavengers (hazmat gear),Safely extract rare reagents,High-value reagents for rare recipes,"Hazmat Alchemist, Black Clinic","High risk (disease, police bio-squad); rare drops only",Can partner with Black Clinic (medical exchange)
Street Picker / Grifter (Tier1–2),"Wallets, IDs, keys, documents",Low-profile players,"Cut/collect valuables, pick locks","Money, IDs, minor valuables","Wraith, Fraud, Fences","Easy arrests, poor yields per attempt",Makes a good alt-role for non-combat players
